bench,mode,api,iface,op,size_bytes,blocks,threads,repeats,total_bytes,host_ms,host_wall_ns,gbps_host,gbps_host_wall,dev_cycles,bytes_per_cycle,clk_khz,clk_eff_khz_from_host,gbps_dev
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,4,128,65536,67108864,193.343277,193366831,0.347097,0.347055,192660512,0.348327030,1073741,996468.639,0.374013
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,4,256,65536,67108864,193.630737,193653893,0.346582,0.346540,192699176,0.348257140,1073741,995188.980,0.373938
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,4,512,65536,67108864,194.291534,194312857,0.345403,0.345365,192821494,0.348036220,1073741,992433.842,0.373701
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,8,128,65536,67108864,192.340088,192361974,0.348907,0.348868,191435648,0.350555733,1073741,995297.705,0.376406
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,8,256,65536,67108864,192.979202,193002086,0.347752,0.347711,191551108,0.350344431,1073741,992599.750,0.376179
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,8,512,65536,67108864,195.270706,195292282,0.343671,0.343633,192748636,0.348167776,1073741,987084.237,0.373842
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,16,128,65536,67108864,191.169464,191194914,0.351044,0.350997,189982422,0.353237227,1073741,993790.629,0.379285
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,16,256,65536,67108864,244.369308,244387482,0.274621,0.274600,242391590,0.276861355,1073741,991906.846,0.297277
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,16,512,65536,67108864,457.813171,457818961,0.146586,0.146584,454231912,0.147741412,1073741,992177.465,0.158636
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,32,128,65536,67108864,243.032776,243052653,0.276131,0.276108,241314666,0.278096914,1073741,992930.543,0.298604
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,32,256,65536,67108864,445.162903,445174284,0.150751,0.150747,441770722,0.151908808,1073741,992379.911,0.163111
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,32,512,65536,67108864,876.660950,876643053,0.076551,0.076552,870407312,0.077100529,1073741,992866.526,0.082786
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,64,128,65536,67108864,446.242310,446248715,0.150387,0.150384,442967828,0.151498280,1073741,992662.100,0.162670
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,64,256,65536,67108864,866.586304,866567918,0.077440,0.077442,860893882,0.077952539,1073741,993431.212,0.083701
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,64,512,65536,67108864,1668.590698,1668521162,0.040219,0.040221,1658058700,0.040474360,1073741,993688.088,0.043459
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,4,128,65536,67108864,174.071732,174099170,0.385524,0.385463,173134914,0.387610231,1073741,994618.210,0.416193
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,4,256,65536,67108864,174.092575,174115410,0.385478,0.385427,173185452,0.387497121,1073741,994789.421,0.416072
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,4,512,65536,67108864,174.776184,174800068,0.383970,0.383918,173348094,0.387133556,1073741,991829.035,0.415681
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,8,128,65536,67108864,173.073990,173101317,0.387747,0.387685,172167564,0.389788079,1073741,994762.784,0.418531
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,8,256,65536,67108864,173.774796,173797705,0.386183,0.386132,172330706,0.389419074,1073741,991689.879,0.418135
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,8,512,65536,67108864,176.346054,176369989,0.380552,0.380500,173826310,0.386068507,1073741,985711.367,0.414538
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,16,128,65536,67108864,172.877182,172901025,0.388188,0.388135,171705466,0.390837086,1073741,993222.263,0.419658
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,16,256,65536,67108864,232.242752,232262242,0.288960,0.288936,230285546,0.291415875,1073741,991572.585,0.312905
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,16,512,65536,67108864,437.344788,437350953,0.153446,0.153444,433757014,0.154715340,1073741,991796.464,0.166124
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,32,128,65536,67108864,230.777069,230796978,0.290795,0.290770,228962226,0.293100155,1073741,992135.947,0.314714
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,32,256,65536,67108864,434.472809,434483177,0.154460,0.154457,431057758,0.155684158,1073741,992139.782,0.167164
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,32,512,65536,67108864,844.317627,844301018,0.079483,0.079485,837696226,0.080111217,1073741,992157.690,0.086019
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,64,128,65536,67108864,424.928680,424940501,0.157930,0.157925,421631496,0.159164732,1073741,992240.617,0.170902
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,64,256,65536,67108864,841.689209,841670859,0.079731,0.079733,835965204,0.080277102,1073741,993199.384,0.086197
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,1024,64,512,65536,67108864,1644.347900,1644283126,0.040812,0.040813,1633831546,0.041074531,1073741,993604.544,0.044103
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,4,128,65536,67108864,29.126381,29158519,2.304058,2.301518,28452862,2.358598021,1073741,976875.983,2.532523
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,4,256,65536,67108864,29.381910,29414004,2.284020,2.281528,28453480,2.358546793,1073741,968401.295,2.532468
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,4,512,65536,67108864,29.903715,29937073,2.244165,2.241664,28475072,2.356758360,1073741,952225.229,2.530548
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,8,128,65536,67108864,29.101515,29132838,2.306026,2.303547,28185382,2.380981177,1073741,968519.411,2.556557
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,8,256,65536,67108864,29.641785,29673928,2.263995,2.261543,28188642,2.380705818,1073741,950976.546,2.556261
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,8,512,65536,67108864,30.726234,30758684,2.184090,2.181786,28206436,2.379203952,1073741,917991.954,2.554649
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,16,128,65536,67108864,29.440359,29474285,2.279485,2.276861,28348454,2.367284791,1073741,962911.284,2.541851
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,16,256,65536,67108864,30.613050,30644632,2.192165,2.189906,28649394,2.342418272,1073741,935855.577,2.515151
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,16,512,65536,67108864,32.751900,32783784,2.049007,2.047014,29182758,2.299606638,1073741,891024.895,2.469182
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,32,128,65536,67108864,30.928274,30960446,2.169822,2.167568,29148354,2.302320879,1073741,942450.065,2.472096
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,32,256,65536,67108864,33.125584,33156849,2.025892,2.023982,29738200,2.256655211,1073741,897741.163,2.423063
